userName,score,at,content
Teing gelo Sarap,4,2025-11-01 15:34:51,game nya seru tapi karakternya kurang banyak coba tambahin lagi kaya bahlil dll pasti keren dan tambahin lagi musuh nya kaya ambaruwo dlm
Iqbal Pamungkas,1,2025-10-31 23:41:20,game nya bagus guwa kasih bintang 5 plus sigma😈😈😈🤚🤚🤚🤚
muhammad nurfajri ramadhan,5,2025-10-19 14:57:20,bgus sih tpi sayang grafiknya buriq kek ep ep🗿🙏🙏
Farel Fratama,5,2025-10-15 14:20:01,"gamenya sangat bagus dan sangat jarang ada game petualangan tentang Jokowi tapi tolong tambahin Karakter bapak Jokowi, ibu Jokowi, anak Jokowi, kakek Jokowi, nenek Jokowi, kakek buyut Jokowi, nenek buyut Jokowi, Sudara Jokowi, teman Jokowi, sahabat Jokowi, pacarnya Jokowi, followers Jokowi, teman dekatnya Jokowi, dan dll. dan tolong tambahin juga fitur mode depo, grafik anime, mode penghemat data, anti korup, multiplayer, online, mode survival, hardcore, mode sejarah, sedikit aja 🥰"
Kenzo Kenzo,5,2025-10-10 11:20:22,sherlok tak parani 😹😹😹😹😹
Wardd,5,2025-10-08 02:38:14,"KEREN SEKALI, SAYA SAMPAI KEKAMAR MANDI 10X. INI GAME YANG SANGAT COCOK DIMAINKAN OLEH ANAK MUDA YANG SANG"" SAMA JOKOWAI"
Indra mualif,1,2025-10-05 06:47:22,gime ny jwlek ad bokep nta
Bimasakti rorr,1,2025-10-04 16:28:28,bg gemnya kok gk ada fitur Telkomsel? 🥀🥀🥀🥀🥀😈😈😈😈😈
Revanza Evan,5,2025-09-30 19:25:33,🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣
Ajat Sudrajat,1,2025-09-26 06:44:55,Tetapi rewardnya gimana
Chelsea,5,2025-09-26 05:42:32,game nya bagus. bagus di hapus👍
Alun Nazar Alun,5,2025-09-25 11:56:46,Game nya bagus lah
Galang Mafia,1,2025-09-23 23:58:19,gamenya bagus tapi kalo bisa tambahin PSHT sama KERA sakti jadiin sama tambahin si sahroni jadi bos senjatanya si pialanya itu sendiri
Kamal Free,3,2025-09-18 08:29:51,"game nya ga bagus karna gw belum mainin, 😂 kalo jelek gw laporin developer nya karna gak bisa buat game minimal buat game yang hd , lah jangan Jokowi"
Fahmi Iqmal,1,2025-09-17 15:10:52,jelek ah karakter nya kgk bisa comlay pake rinso🐽
Ripko Ooo,1,2025-09-15 19:21:06,"bagus, grafik juga oke"
